date,target_index,industrial_production,cass_shipments,consumer_sentiment,mfg_inventory_to_sales_ratio,ppi_motor_vehicle_parts,durable_goods_ex_transport
2024-01-01,74.7885,99.2223,1.039,79.0,1.6,0.003531877153464036,192801.0
2024-01-02,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-03,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-04,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-05,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-06,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-08,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-09,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-10,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-11,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-12,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-13,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-15,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-16,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-17,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-18,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-19,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-20,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-22,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-23,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-24,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-25,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-26,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-27,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-29,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-30,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-01-31,74.7885,99.2223,1.039,79.0,1.6,0.0,192801.0
2024-02-01,75.4512,100.285,1.115,76.9,1.59,0.0011575069802363114,192943.0
2024-02-02,75.4512,100.285,1.115,76.9,1.59,0.0,192943.0
2024-02-03,75.4512,100.285,1.115,76.9,1.59,0.0,192943.0
2024-02-05,75.4512,100.285,1.115,76.9,1.59,0.0,192943.0
2024-02-06,75.4512,100.285,1.115,76.9,1.59,0.0,192943.0
2024-02-07,75.4512,100.285,1.115,76.9,1.59,0.0,192943.0
2024-02-08,75.4512,100.285,1.115,76.9,1.59,0.0,192943.0
