date,forecast_production_volume
2026-06-26,54.8
2026-06-28,54.8
2026-06-29,54.8
2026-06-30,54.8
2026-07-01,54.9
2026-07-02,54.9
2026-07-03,54.9
2026-07-05,54.9
2026-07-06,54.9
2026-07-07,54.9
2026-07-08,54.9
2026-07-09,54.9
2026-07-10,54.9
2026-07-12,54.9
2026-07-13,54.9
2026-07-14,54.9
2026-07-15,54.9
2026-07-16,54.9
2026-07-17,54.9
2026-07-19,54.9
2026-07-20,54.9
2026-07-21,54.9
2026-07-22,54.9
2026-07-23,54.9
2026-07-24,54.9
2026-07-26,54.9
2026-07-27,54.9
2026-07-28,54.9
2026-07-29,54.9
2026-07-30,54.1
2026-07-31,54.3
2026-08-02,54.3
2026-08-03,54.3
2026-08-04,54.3
2026-08-05,54.3
2026-08-06,54.3
2026-08-07,54.3
2026-08-09,54.3
2026-08-10,54.3
2026-08-11,54.3
2026-08-12,54.3
2026-08-13,54.3
2026-08-14,54.3
2026-08-16,54.3
2026-08-17,54.3
2026-08-18,54.3
2026-08-19,54.3
2026-08-20,54.3
2026-08-21,54.3
2026-08-23,54.3
2026-08-24,54.3
2026-08-25,54.3
2026-08-26,54.3
2026-08-27,54.3
2026-08-28,54.3
2026-08-30,54.3
2026-08-31,54.3
2026-09-01,54.3
2026-09-02,54.3
2026-09-03,54.3
2026-09-04,54.3
2026-09-06,54.3
2026-09-07,54.3
2026-09-08,54.3
2026-09-09,54.3
2026-09-10,54.3
2026-09-11,54.3
2026-09-13,54.3
2026-09-14,54.3
2026-09-15,54.3
2026-09-16,54.3
2026-09-17,54.3
2026-09-18,54.3
2026-09-20,54.3
2026-09-21,54.3
2026-09-22,54.3
2026-09-23,54.3
2026-09-24,54.3
2026-09-25,54.3
2026-09-27,54.3
2026-09-28,54.3
2026-09-29,54.3
2026-09-30,54.3
2026-10-01,54.3
2026-10-02,54.3
2026-10-04,54.3
2026-10-05,54.3
2026-10-06,54.3
2026-10-07,54.3
2026-10-08,54.3
